PARMA ID,Branch ID,Training Region,Support Tier,Customer Success Owner,Priority Score,Last Audit Date,Open Cases,Certification Rate,Notes
P604738,B604-003,Europe Central,Silver,Clara Patel,42,2026-03-27,3,78%,New branch
P976051,B976-003,Asia Pacific,Bronze,Elias Usman,53,2024-04-01,10,79%,High training demand
P731204,B731-004,Europe North,Platinum,Ava Andersson,64,2025-05-02,4,80%,Stable
P184920,B184-004,Europe North,Gold,Noah Fischer,75,2026-06-03,11,81%,Needs follow-up
P642118,B642-004,Europe Central,Silver,Sofia Kim,86,2024-07-04,5,82%,New branch
P295731,B295-004,Europe Central,Bronze,Hugo Patel,97,2025-08-05,12,83%,High training demand
P807443,B807-004,North America,Platinum,Alma Usman,50,2026-09-06,6,84%,Stable
P516082,B516-004,Europe North,Gold,Milo Andersson,61,2024-10-07,0,85%,Needs follow-up
P409675,B409-004,Europe North,Silver,Lina Fischer,72,2025-11-08,7,86%,New branch
P920114,B920-004,Europe Central,Bronze,Liam Kim,83,2026-12-09,1,87%,High training demand
P358706,B358-004,Europe Central,Platinum,Emma Patel,94,2024-01-10,8,88%,Stable
P674219,B674-004,Latin America,Gold,Lucas Usman,47,2025-02-11,2,89%,Needs follow-up
P247806,B247-004,Europe Central,Silver,Nora Andersson,58,2026-03-12,9,90%,New branch
P803162,B803-004,North America,Bronze,Felix Fischer,69,2024-04-13,3,91%,High training demand
P469350,B469-004,Oceania,Platinum,Freja Kim,80,2025-05-14,10,92%,Stable
P582941,B582-004,Latin America,Gold,Theo Patel,91,2026-06-15,4,93%,Needs follow-up
P390526,B390-004,Asia Pacific,Silver,Mia Usman,44,2024-07-16,11,94%,New branch
P718634,B718-004,Africa,Bronze,Oscar Andersson,55,2025-08-17,5,95%,High training demand
P235497,B235-004,Europe Central,Platinum,Ella Fischer,66,2026-09-18,12,96%,Stable
P849205,B849-004,Europe Central,Gold,Leo Kim,77,2024-10-19,6,97%,Needs follow-up
P604738,B604-004,Europe Central,Silver,Clara Patel,88,2025-11-20,0,72%,New branch
P976051,B976-004,Asia Pacific,Bronze,Elias Usman,99,2026-12-21,7,73%,High training demand
P731204,B731-005,Europe North,Platinum,Ava Andersson,52,2024-01-22,1,74%,Stable
P184920,B184-005,Europe North,Gold,Noah Fischer,63,2025-02-23,8,75%,Needs follow-up
P642118,B642-005,Europe Central,Silver,Sofia Kim,74,2026-03-24,2,76%,New branch
P295731,B295-005,Europe Central,Bronze,Hugo Patel,85,2024-04-25,9,77%,High training demand
P807443,B807-005,North America,Platinum,Alma Usman,96,2025-05-26,3,78%,Stable
P516082,B516-005,Europe North,Gold,Milo Andersson,49,2026-06-27,10,79%,Needs follow-up
P409675,B409-005,Europe North,Silver,Lina Fischer,60,2024-07-01,4,80%,New branch
P920114,B920-005,Europe Central,Bronze,Liam Kim,71,2025-08-02,11,81%,High training demand
P358706,B358-005,Europe Central,Platinum,Emma Patel,82,2026-09-03,5,82%,Stable
P674219,B674-005,Latin America,Gold,Lucas Usman,93,2024-10-04,12,83%,Needs follow-up
P247806,B247-005,Europe Central,Silver,Nora Andersson,46,2025-11-05,6,84%,New branch
P803162,B803-005,North America,Bronze,Felix Fischer,57,2026-12-06,0,85%,High training demand
P469350,B469-005,Oceania,Platinum,Freja Kim,68,2024-01-07,7,86%,Stable
P582941,B582-005,Latin America,Gold,Theo Patel,79,2025-02-08,1,87%,Needs follow-up
P390526,B390-005,Asia Pacific,Silver,Mia Usman,90,2026-03-09,8,88%,New branch
P718634,B718-005,Africa,Bronze,Oscar Andersson,43,2024-04-10,2,89%,High training demand
P235497,B235-005,Europe Central,Platinum,Ella Fischer,54,2025-05-11,9,90%,Stable
P849205,B849-005,Europe Central,Gold,Leo Kim,65,2026-06-12,3,91%,Needs follow-up
P604738,B604-005,Europe Central,Silver,Clara Patel,76,2024-07-13,10,92%,New branch
P976051,B976-005,Asia Pacific,Bronze,Elias Usman,87,2025-08-14,4,93%,High training demand
